selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top_delta_steer,26,200,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7891447368421053,-0.02401315789473684,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,200,0.25,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7894736842105263,-0.024342105263157894,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,27,1,0.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7894736842105263,-0.024342105263157894,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,23,100,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7898026315789474,-0.024671052631578948,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,20,100,1.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7904605263157894,-0.02532894736842105,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,26,200,1.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7907894736842105,-0.025657894736842105,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,22,10,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7914473684210527,-0.02631578947368421,-0.03125,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top_delta_steer,26,50,3.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7914473684210527,-0.02631578947368421,-0.03125,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top_delta_steer,26,500,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7917763157894737,-0.026644736842105263,-0.03125,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,22,500,0.25,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7921052631578948,-0.026973684210526316,-0.03125,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,26,1,0.5,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7924342105263158,-0.02730263157894737,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,20,100,3.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7927631578947368,-0.02763157894736842,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,20,100,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7934210526315789,-0.028289473684210528,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,200,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7960526315789473,-0.030921052631578946,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,27,1,1.5,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7967105263157894,-0.031578947368421054,-0.03125,0,0.0,0,0.0,1.0,1,1
global_multilayer_ci_top_delta_steer,multi,10,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7970394736842106,-0.03190789473684211,-0.03125,0,0.0,0,0.0,1.0,4,10
layerwise_ci_top_delta_steer,23,100,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7973684210526316,-0.03223684210526316,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,500,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7976973684210527,-0.03256578947368421,-0.03125,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,23,100,0.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7990131578947368,-0.03388157894736842,-0.03125,0,0.0,0,0.0,1.0,1,100
