scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
103047,D,final,18,0.9966399669647217,85.26712036132812,85.74789428710938,1.0056384444994029
103047,D,final,19,0.9964913129806519,100.83219909667969,101.56291198730469,1.0072468209279497
103047,D,final,20,0.9962872266769409,123.09719848632812,123.87967681884766,1.006356589281814
103047,D,final,21,0.9966068267822266,144.70184326171875,145.1476593017578,1.003080928549284
103047,D,final,22,0.9962760210037231,170.16424560546875,170.60179138183594,1.0025713144075028
103047,D,final,23,0.9962943196296692,207.03359985351562,208.29794311523438,1.006106947194143
103047,D,final,24,0.9971297979354858,262.0263366699219,264.2961120605469,1.0086623940916453
103047,D,final,25,0.9974893927574158,335.68243408203125,338.7703857421875,1.0091990266592312
103047,D,final,26,0.9976370334625244,425.6481018066406,428.9647216796875,1.0077919291991897
103047,D,final,27,0.9934275150299072,309.9219665527344,307.3150634765625,0.99158851789317
103070,A,recipient_last,0,0.9999966621398926,13.992749214172363,13.987310409545898,0.9996113126489142
103070,A,recipient_last,1,0.9999925494194031,22.362043380737305,22.36030387878418,0.9999222118514168
103070,A,recipient_last,2,0.9999825358390808,25.285863876342773,25.2866268157959,1.0000301725682323
103070,A,recipient_last,3,0.9999759197235107,32.01128005981445,32.054012298583984,1.001334911902607
103070,A,recipient_last,4,0.9999723434448242,36.137718200683594,36.19306945800781,1.0015316754925376
103070,A,recipient_last,5,0.9999667406082153,36.5390625,36.58071517944336,1.0011399493198097
103070,A,recipient_last,6,0.9999557733535767,42.58234405517578,42.63969802856445,1.0013468956362372
103070,A,recipient_last,7,0.9999537467956543,48.415096282958984,48.46977233886719,1.0011293183346917
103070,A,recipient_last,8,0.9999452829360962,56.56083297729492,56.557682037353516,0.9999442911326524
103070,A,recipient_last,9,0.9999302625656128,57.2599983215332,57.2520866394043,0.9998618288096259
103070,A,recipient_last,10,0.9999001026153564,58.15914535522461,58.193016052246094,1.0005823795520827
103070,A,recipient_last,11,0.9998740553855896,61.603729248046875,61.577518463134766,0.9995745260030189
103070,A,recipient_last,12,0.9998406767845154,63.91001892089844,64.07359313964844,1.0025594456317164
103070,A,recipient_last,13,0.999839723110199,72.997802734375,72.98955535888672,0.9998870188529059
103070,A,recipient_last,14,0.9998283386230469,73.49132537841797,73.4820556640625,0.9998738665508108
103070,A,recipient_last,15,0.9998463988304138,83.65410614013672,83.66213989257812,1.000096035362902
103070,A,recipient_last,16,0.999826192855835,82.50025939941406,82.27055358886719,0.9972156958993936
103070,A,recipient_last,17,0.9998155832290649,88.39148712158203,87.9636459350586,0.9951597014547912
103070,A,recipient_last,18,0.999835729598999,101.67952728271484,101.36966705322266,0.9969525799561337
103070,A,recipient_last,19,0.9997555613517761,108.99877166748047,108.5631332397461,0.9960032721372002
103070,A,recipient_last,20,0.9997079968452454,115.7129135131836,115.0838623046875,0.9945636905216769
103070,A,recipient_last,21,0.999671459197998,138.77664184570312,137.94924926757812,0.9940379550396894
103070,A,recipient_last,22,0.9995777606964111,158.8570098876953,157.8556671142578,0.9936965779845321
103070,A,recipient_last,23,0.9995071291923523,195.69061279296875,194.1711883544922,0.9922355783101152
103070,A,recipient_last,24,0.9994109272956848,245.11671447753906,242.9650115966797,0.991221721107654
103070,A,recipient_last,25,0.9992426633834839,287.6619873046875,285.71826171875,0.9932430224648392
103070,A,recipient_last,26,0.9984393119812012,361.1530456542969,358.01190185546875,0.9913024579561904
103070,A,recipient_last,27,0.9971481561660767,280.1590270996094,281.9596252441406,1.0064270573865572
103070,A,purpose_last,0,0.9999970197677612,13.897790908813477,13.89374828338623,0.999709117409107
103070,A,purpose_last,1,0.9999939203262329,27.13563346862793,27.089248657226562,0.9982906309721867
103070,A,purpose_last,2,0.9999897480010986,31.52337646484375,31.478422164916992,0.9985739376625187
103070,A,purpose_last,3,0.999988853931427,41.63368225097656,41.61027145385742,0.9994376957344773
103070,A,purpose_last,4,0.999984860420227,44.77660369873047,44.75226974487305,0.9994565475751321
103070,A,purpose_last,5,0.9999805688858032,46.1150016784668,46.089820861816406,0.9994539560721267
103070,A,purpose_last,6,0.9999691247940063,51.07902908325195,51.03970718383789,0.9992301752770207
103070,A,purpose_last,7,0.9999665021896362,55.54569625854492,55.571956634521484,1.000472770668934
103070,A,purpose_last,8,0.9999569058418274,60.32974624633789,60.331119537353516,1.000022763082908
103070,A,purpose_last,9,0.9999397397041321,61.18130111694336,61.08805847167969,0.9984759617144224
103070,A,purpose_last,10,0.9999182820320129,61.80656051635742,61.755409240722656,0.9991723973117509
103070,A,purpose_last,11,0.9999133348464966,62.559226989746094,62.540260314941406,0.9996968205056659
103070,A,purpose_last,12,0.9998937249183655,60.05043029785156,60.09695053100586,1.0007746860917326
103070,A,purpose_last,13,0.9998857378959656,69.62705993652344,69.62541961669922,0.9999764413458544
103070,A,purpose_last,14,0.9998725652694702,70.3171615600586,70.24295806884766,0.9989447314202585
103070,A,purpose_last,15,0.999870777130127,82.71285247802734,82.51190948486328,0.9975705952927032
103070,A,purpose_last,16,0.9998574256896973,85.29182434082031,85.22976684570312,0.9992724098048459
103070,A,purpose_last,17,0.9998435378074646,89.84789276123047,89.68228912353516,0.998156844500122
103070,A,purpose_last,18,0.9998647570610046,104.0592041015625,103.85462188720703,0.9980339825186844
103070,A,purpose_last,19,0.9997860193252563,111.41930389404297,110.86244201660156,0.9950021059369482
103070,A,purpose_last,20,0.9997619390487671,125.37493896484375,124.58618927001953,0.9937088727513128
103070,A,purpose_last,21,0.9997503757476807,153.3973388671875,152.27102661132812,0.9926575502275529
103070,A,purpose_last,22,0.9996938109397888,168.23046875,166.9257354736328,0.9922443699642418
103070,A,purpose_last,23,0.9996452927589417,204.95350646972656,203.04808044433594,0.9907031303918088
103070,A,purpose_last,24,0.9995633959770203,260.59649658203125,258.01458740234375,0.9900923104740407
103070,A,purpose_last,25,0.9994431138038635,308.7238464355469,306.5597229003906,0.9929900992095599
103070,A,purpose_last,26,0.9989045262336731,416.8388366699219,413.5873718261719,0.9921997075183168
103070,A,purpose_last,27,0.9974995851516724,267.9976501464844,268.9701843261719,1.0036288906979443
103070,A,final,0,0.9999864101409912,10.369115829467773,10.366233825683594,0.9997220588687041
103070,A,final,1,0.9987705945968628,15.085678100585938,15.188399314880371,1.006809187734852
103070,A,final,2,0.9988970756530762,17.901247024536133,17.841442108154297,0.9966591759613247
103070,A,final,3,0.998386561870575,18.77471351623535,18.7623291015625,0.999340367315744
103070,A,final,4,0.9978135824203491,22.280622482299805,22.334510803222656,1.0024186182843706
103070,A,final,5,0.998149037361145,31.602243423461914,31.902559280395508,1.0095029916993372
103070,A,final,6,0.998201847076416,31.884220123291016,31.969682693481445,1.0026804033424672
103070,A,final,7,0.997902512550354,33.30043411254883,33.387359619140625,1.0026103415438372
103070,A,final,8,0.9971894025802612,34.08635711669922,34.13410949707031,1.0014009235486094
103070,A,final,9,0.9956891536712646,38.83067321777344,38.638431549072266,0.9950492316313182
103070,A,final,10,0.9944473505020142,42.389801025390625,42.847755432128906,1.0108034101519838
103070,A,final,11,0.9935117959976196,43.81201934814453,44.770790100097656,1.021883737983735
103070,A,final,12,0.9942914247512817,47.878170013427734,47.73533248901367,0.9970166461171344
103070,A,final,13,0.9944267272949219,55.99888229370117,55.784366607666016,0.9961692862920001
103070,A,final,14,0.9960014820098877,71.0542221069336,71.18923950195312,1.0019002022823686
103070,A,final,15,0.9959264993667603,69.23590850830078,69.32270050048828,1.001253569051919
103070,A,final,16,0.9961984157562256,71.38243103027344,71.37010955810547,0.9998273878881662
103070,A,final,17,0.9968826770782471,77.33555603027344,77.27933502197266,0.9992730250975531
103070,A,final,18,0.9969180226325989,84.8432388305664,85.64938354492188,1.0095015787405919
