contrast,site,layer,n,mean_direction_cosine,median_direction_cosine,std_direction_cosine,mean_base_direction_norm,mean_ci_direction_norm,mean_direction_norm_ratio
AC_C_minus_A,final,6,87,0.9786233915679756,0.9802262187004089,0.006906611648416734,0.7016292163010301,0.7107512073955317,1.0133390912832012
AC_C_minus_A,final,7,87,0.9848813181635977,0.9856759905815125,0.003594217283424281,0.9017965074243217,0.9298063311083563,1.0313316307372042
AC_C_minus_A,final,8,87,0.9822326994490349,0.9827538728713989,0.0033339937125165657,1.1257110751908401,1.1555699932164158,1.026857596991767
AC_C_minus_A,final,9,87,0.9797410101726137,0.9800660610198975,0.0034838499435826107,1.1502783223130237,1.1976367666803558,1.0419654679576023
AC_C_minus_A,final,10,87,0.9709415449493233,0.9705386757850647,0.005026591854953836,1.2989882484249684,1.3562091232716351,1.0436009755394509
AC_C_minus_A,final,11,87,0.9641806113308874,0.9644515514373779,0.005566611651520432,1.4043250741629765,1.4894079538597458,1.0590938037092892
AC_C_minus_A,final,12,87,0.9606915123161228,0.9638770222663879,0.007796953081101666,1.5516675840849163,1.5907338693224151,1.024093734112705
AC_C_minus_A,final,13,87,0.9595802193400503,0.9638707041740417,0.008799837373925352,1.747971231910004,1.8023278822844055,1.0301196668658181
AC_C_minus_A,final,14,87,0.9623514866006786,0.9616479277610779,0.008014347861239158,2.079436230933529,2.1416962050843513,1.0283775970373843
AC_C_minus_A,final,15,87,0.964661575596908,0.9654706716537476,0.0069244832247145555,2.259782262232112,2.2969079565727846,1.0144085847874764
AC_C_minus_A,final,16,87,0.9681469065019455,0.9692981839179993,0.005400160899620965,2.597450999007828,2.5638760862679315,0.9853223055853779
AC_C_minus_A,final,17,87,0.9698357212132421,0.970266580581665,0.006552816722787561,3.8139001939488555,3.523977586592751,0.925163954022501
AC_C_minus_A,final,18,87,0.9694625625665161,0.9737793803215027,0.020551644330132735,14.286489124955802,14.427081908302746,1.0102045303846277
AC_C_minus_A,final,19,87,0.9751701190553862,0.9799292087554932,0.012649360158879982,22.35405848492151,23.52088456866385,1.0540228723269676
AC_C_minus_A,final,20,87,0.9771440227826437,0.9813007712364197,0.010583256874928197,33.044491406144765,35.01891015589922,1.063193927057472
AC_C_minus_A,final,21,87,0.9775095582008362,0.9820942878723145,0.011902926774192373,41.767735426453335,44.31377351695094,1.0643194658893027
AC_C_minus_A,final,22,87,0.98060577422723,0.9839454889297485,0.010198505417788906,55.27784128298705,59.268215398678834,1.076455126923407
AC_C_minus_A,final,23,87,0.9823472417634109,0.9853105545043945,0.009356549425392215,69.26590838377503,76.01053321224519,1.1037119674126248
AC_C_minus_A,final,24,87,0.9829408334589552,0.986025869846344,0.009452146159308396,81.23883674884665,88.1383777486867,1.0907975443287838
AC_C_minus_A,final,25,87,0.9831305379155039,0.9870263934135437,0.009791091800416806,97.036793237445,104.31992326933762,1.0799166264182711
AC_C_minus_A,final,26,87,0.9836425315374615,0.9883009791374207,0.01042257234584162,117.35280328509451,125.04517548659751,1.0696041555943794
AC_C_minus_A,final,27,87,0.9852947825672983,0.9902830123901367,0.010656367531748097,110.38379936656733,115.55921646644329,1.0500055221839204
AC_C_minus_A,purpose_last,0,87,0.999996996473992,0.9999970197677612,3.6780487123218183e-07,13.840692684568207,13.839662628612299,0.9999287440433268
AC_C_minus_A,purpose_last,1,87,0.9999943992187237,0.9999943971633911,2.1492576418026746e-06,22.235733218576716,22.224909661830157,0.9996058440069484
AC_C_minus_A,purpose_last,2,87,0.9999910771161661,0.9999914169311523,2.8044855558121244e-06,31.982044219970703,31.952320076953406,0.9991220242242425
AC_C_minus_A,purpose_last,3,87,0.9999855469013083,0.9999859929084778,4.5307450669473685e-06,39.67272278358196,39.693603384083715,1.0005947354304425
AC_C_minus_A,purpose_last,4,87,0.9999809861183167,0.9999818801879883,4.88126302341063e-06,45.24265806702362,45.29134430282417,1.001118607523772
AC_C_minus_A,purpose_last,5,87,0.999974733796613,0.9999759197235107,7.911622967131395e-06,46.98207684220939,47.032094451202745,1.0011195863523397
AC_C_minus_A,purpose_last,6,87,0.9999500314394633,0.9999523162841797,1.4544174312852016e-05,50.15416213287704,50.17813978524044,1.000516551681847
AC_C_minus_A,purpose_last,7,87,0.9999504486719767,0.9999518394470215,1.299011986324234e-05,56.76624771644329,56.81615312072052,1.000883801384198
AC_C_minus_A,purpose_last,8,87,0.9999344342056362,0.9999315738677979,1.5052455654558504e-05,61.23651666750853,61.263408792429956,1.0004486343571093
AC_C_minus_A,purpose_last,9,87,0.999917287251045,0.9999173879623413,2.3586125844902483e-05,59.290331917247556,59.31166453745173,1.0003540043434218
AC_C_minus_A,purpose_last,10,87,0.9998990160295333,0.9999045133590698,3.3250843604097374e-05,58.872888499292834,58.8741183226136,1.0000310881644419
AC_C_minus_A,purpose_last,11,87,0.9998750823667679,0.999889612197876,4.0617624129204726e-05,62.32021985108825,62.30009618298761,0.9996732722020681
