pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
38,16.515625,-0.98046875,-17.49609375,16.640625,0.4375
39,7.8671875,-22.0,-29.8671875,6.4375,-19.28125
40,11.3359375,1.0244140625,-10.3115234375,7.34375,0.90625
41,15.5,-0.6630859375,-16.1630859375,14.703125,0.5
42,16.34375,-22.4375,-38.78125,18.09375,-17.609375
43,6.94921875,-2.23046875,-9.1796875,5.78125,0.15625
44,11.3359375,-0.64453125,-11.98046875,7.34375,0.34375
45,16.734375,-1.5185546875,-18.2529296875,15.703125,0.21875
46,10.4453125,-0.76171875,-11.20703125,9.125,0.9375
47,16.734375,-0.70166015625,-17.43603515625,15.703125,0.65625
48,6.046875,-1.5810546875,-7.6279296875,5.53125,0.4375
49,11.8828125,-1.7724609375,-13.6552734375,10.03125,0.0625
50,14.6015625,-2.578125,-17.1796875,13.59375,0.1875
51,11.8828125,0.3876953125,-11.4951171875,10.03125,1.46875
52,15.421875,-1.16015625,-16.58203125,13.953125,0.46875
53,12.7890625,-3.439453125,-16.228515625,9.84375,-1.34375
54,14.53125,-1.0537109375,-15.5849609375,11.71875,0.21875
55,11.1328125,-1.2138671875,-12.3466796875,10.078125,0.8125
56,16.34375,-0.50927734375,-16.85302734375,18.09375,0.5625
57,16.8125,-0.54638671875,-17.35888671875,16.015625,0.75
58,15.890625,-1.1474609375,-17.0380859375,14.390625,0.09375
59,15.640625,-1.8076171875,-17.4482421875,15.625,0.65625
60,14.21875,-1.3486328125,-15.5673828125,12.40625,0.15625
61,15.5,-1.22265625,-16.72265625,14.703125,0.3125
62,11.2265625,-0.68115234375,-11.90771484375,9.5625,0.5625
63,15.421875,-1.01953125,-16.44140625,13.953125,0.03125
64,15.0,-1.0185546875,-16.0185546875,13.203125,0.46875
65,14.9375,-18.96875,-33.90625,13.0625,-13.078125
66,13.515625,-0.09893798828125,-13.61456298828125,11.484375,0.6875
67,14.484375,-0.88720703125,-15.37158203125,10.890625,0.15625
68,14.9375,-2.021484375,-16.958984375,13.0625,0.375
69,14.0234375,-0.1611328125,-14.1845703125,11.75,0.4375
70,15.0546875,-0.2032470703125,-15.2579345703125,13.734375,1.28125
71,8.046875,-5.55859375,-13.60546875,7.953125,-1.78125
72,12.1796875,-0.43359375,-12.61328125,10.484375,0.90625
73,15.75,-1.7802734375,-17.5302734375,15.015625,0.59375
74,15.75,-12.7734375,-28.5234375,15.015625,-7.265625
75,2.634765625,-15.1171875,-17.751953125,3.625,-9.984375
76,14.3984375,-0.9443359375,-15.3427734375,12.421875,1.09375
77,16.34375,-0.260498046875,-16.604248046875,16.46875,1.09375
78,15.6328125,-14.4921875,-30.125,13.59375,-7.15625
79,15.09375,-18.3125,-33.40625,12.25,-11.3125
80,9.5625,-12.078125,-21.640625,8.53125,-6.234375
81,12.1796875,-0.0167236328125,-12.1964111328125,10.484375,1.0625
82,14.3359375,0.07861328125,-14.25732421875,12.875,1.1875
83,15.75,-1.8544921875,-17.6044921875,15.015625,-0.375
84,15.09375,-18.71875,-33.8125,12.25,-14.25
85,15.6328125,-17.71875,-33.3515625,13.59375,-12.546875
86,8.046875,-13.6015625,-21.6484375,7.953125,-7.15625
87,9.5625,-25.390625,-34.953125,8.53125,-21.390625
88,14.9375,-0.9423828125,-15.8798828125,13.0625,0.65625
89,14.3984375,-0.492431640625,-14.890869140625,12.421875,1.6875
90,9.5625,-2.259765625,-11.822265625,8.53125,0.15625
91,2.634765625,-20.90625,-23.541015625,3.625,-15.34375
92,2.634765625,-3.28515625,-5.919921875,3.625,-0.09375
93,15.8984375,-0.343505859375,-16.241943359375,15.03125,0.3125
94,2.634765625,-6.31640625,-8.951171875,3.625,-2.0625
95,15.1171875,-0.33154296875,-15.44873046875,13.796875,0.90625
96,14.484375,-0.09661865234375,-14.58099365234375,10.890625,0.53125
97,15.34375,-1.4755859375,-16.8193359375,14.828125,0.53125
98,17.046875,-10.7578125,-27.8046875,17.296875,-5.34375
99,12.859375,-0.62353515625,-13.48291015625,11.328125,0.1875
100,17.046875,-16.75,-33.796875,17.296875,-9.46875
101,12.859375,-0.1524658203125,-13.0118408203125,11.328125,0.34375
102,8.046875,-0.68017578125,-8.72705078125,7.953125,1.375
103,16.34375,-1.462890625,-17.806640625,16.46875,0.28125
104,15.1171875,-1.76953125,-16.88671875,13.796875,1.03125
105,9.5625,-1.0302734375,-10.5927734375,8.53125,0.59375
106,13.546875,-3.05859375,-16.60546875,12.640625,0.03125
107,15.828125,-0.450927734375,-16.279052734375,13.671875,0.84375
108,15.75,-0.85986328125,-16.60986328125,15.015625,1.0625
109,14.3359375,-1.134765625,-15.470703125,12.875,0.15625
110,15.6328125,1.734375,-13.8984375,13.59375,1.625
111,15.34375,-0.7080078125,-16.0517578125,14.828125,0.75
112,15.578125,-1.5068359375,-17.0849609375,15.28125,0.15625
113,16.484375,-0.2919921875,-16.7763671875,15.921875,0.25
114,15.578125,-1.494140625,-17.072265625,15.28125,0.46875
115,15.0546875,2.98046875,-12.07421875,13.734375,3.21875
116,15.9140625,-17.328125,-33.2421875,14.890625,-8.078125
117,15.9140625,-15.1796875,-31.09375,14.890625,-7.5625
118,16.0,-10.1328125,-26.1328125,16.203125,-5.84375
119,17.21875,0.11865234375,-17.10009765625,19.671875,1.28125
120,15.890625,-1.5771484375,-17.4677734375,17.671875,0.4375
121,15.859375,-8.4375,-24.296875,16.734375,-4.3125
122,16.296875,-1.6103515625,-17.9072265625,19.28125,0.15625
123,16.59375,-0.1409912109375,-16.7347412109375,16.71875,1.28125
124,17.21875,0.232421875,-16.986328125,19.671875,1.5625
125,15.96875,1.38671875,-14.58203125,16.90625,2.65625
126,17.53125,1.4755859375,-16.0556640625,20.03125,1.5625
127,17.28125,-1.7529296875,-19.0341796875,18.40625,0.0625
128,16.109375,0.484619140625,-15.624755859375,15.75,1.46875
129,16.75,-0.984375,-17.734375,18.75,0.59375
130,13.5078125,-1.65625,-15.1640625,12.28125,0.5
131,7.41796875,-6.28515625,-13.703125,6.0625,-3.5
132,11.53125,-4.86328125,-16.39453125,8.3125,-2.1875
133,14.0859375,-1.9111328125,-15.9970703125,12.390625,0.1875
134,16.75,-2.009765625,-18.759765625,18.75,0.0625
135,11.53125,-14.96875,-26.5,8.3125,-8.609375
136,14.0546875,-2.287109375,-16.341796875,12.359375,-0.3125
137,11.53125,-14.3984375,-25.9296875,8.3125,-7.84375
138,15.875,-1.0927734375,-16.9677734375,16.671875,0.5
139,16.609375,-5.21484375,-21.82421875,17.203125,-2.25
140,13.6953125,-13.4375,-27.1328125,12.234375,-8.359375
141,15.7890625,-1.4794921875,-17.2685546875,15.71875,0.75
142,15.8125,-0.3544921875,-16.1669921875,15.375,0.46875
143,15.953125,-2.5078125,-18.4609375,17.671875,0.0625
144,13.6953125,-18.921875,-32.6171875,12.234375,-12.578125
145,15.859375,-11.0546875,-26.9140625,16.734375,-5.84375
146,15.953125,-11.4921875,-27.4453125,17.671875,-6.15625
147,15.859375,-0.0645751953125,-15.9239501953125,16.734375,0.65625
148,16.171875,-1.3212890625,-17.4931640625,17.953125,1.15625
149,14.6484375,-1.3828125,-16.03125,13.4375,0.53125
