selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
layerwise_ci_top_delta_steer,20,20,1.0,add_CI_D_minus_A_neuron_delta,0.006469298245614034,0.0,0.0
layerwise_ci_top_delta_steer,20,20,1.5,add_CI_D_minus_A_neuron_delta,0.008662280701754387,0.0,0.0
layerwise_ci_top_delta_steer,20,20,2.0,add_CI_D_minus_A_neuron_delta,0.013486842105263158,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,20,20,3.0,add_CI_D_minus_A_neuron_delta,0.021271929824561404,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,20,50,0.25,add_CI_D_minus_A_neuron_delta,-0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,20,50,0.5,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,20,50,1.0,add_CI_D_minus_A_neuron_delta,0.002521929824561404,0.0,0.0
layerwise_ci_top_delta_steer,20,50,1.5,add_CI_D_minus_A_neuron_delta,0.0018640350877192982,0.0,0.0
layerwise_ci_top_delta_steer,20,50,2.0,add_CI_D_minus_A_neuron_delta,0.00537280701754386,0.0,0.0
layerwise_ci_top_delta_steer,20,50,3.0,add_CI_D_minus_A_neuron_delta,0.007346491228070175,0.0,0.0
layerwise_ci_top_delta_steer,20,100,0.25,add_CI_D_minus_A_neuron_delta,-0.004605263157894737,0.0,0.0
layerwise_ci_top_delta_steer,20,100,0.5,add_CI_D_minus_A_neuron_delta,-0.0062499999999999995,0.0,0.0
layerwise_ci_top_delta_steer,20,100,1.0,add_CI_D_minus_A_neuron_delta,-0.009539473684210526,0.0,0.0
layerwise_ci_top_delta_steer,20,100,1.5,add_CI_D_minus_A_neuron_delta,-0.015460526315789473,0.0,0.0
layerwise_ci_top_delta_steer,20,100,2.0,add_CI_D_minus_A_neuron_delta,-0.01973684210526316,0.0,0.0
layerwise_ci_top_delta_steer,20,100,3.0,add_CI_D_minus_A_neuron_delta,-0.027960526315789474,0.0,0.0
layerwise_ci_top_delta_steer,20,200,0.25,add_CI_D_minus_A_neuron_delta,-0.005482456140350877,0.0,0.0
layerwise_ci_top_delta_steer,20,200,0.5,add_CI_D_minus_A_neuron_delta,-0.01074561403508772,0.0,0.0
layerwise_ci_top_delta_steer,20,200,1.0,add_CI_D_minus_A_neuron_delta,-0.017214912280701756,0.0,0.0
layerwise_ci_top_delta_steer,20,200,1.5,add_CI_D_minus_A_neuron_delta,-0.02817982456140351,0.0,0.0
layerwise_ci_top_delta_steer,20,200,2.0,add_CI_D_minus_A_neuron_delta,-0.034429824561403505,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,20,200,3.0,add_CI_D_minus_A_neuron_delta,-0.04890350877192982,0.014035087719298246,0.014035087719298246
layerwise_ci_top_delta_steer,20,500,0.25,add_CI_D_minus_A_neuron_delta,-0.03190789473684211,0.0,0.0
layerwise_ci_top_delta_steer,20,500,0.5,add_CI_D_minus_A_neuron_delta,-0.06271929824561404,0.0,0.0
layerwise_ci_top_delta_steer,20,500,1.0,add_CI_D_minus_A_neuron_delta,-0.12258771929824562,0.0,0.0
layerwise_ci_top_delta_steer,20,500,1.5,add_CI_D_minus_A_neuron_delta,-0.17993421052631578,0.0,0.0
layerwise_ci_top_delta_steer,20,500,2.0,add_CI_D_minus_A_neuron_delta,-0.23464912280701752,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,20,500,3.0,add_CI_D_minus_A_neuron_delta,-0.3439144736842105,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,22,1,0.25,add_CI_D_minus_A_neuron_delta,-0.0021929824561403508,0.0,0.0
layerwise_ci_top_delta_steer,22,1,0.5,add_CI_D_minus_A_neuron_delta,-0.002412280701754386,0.0,0.0
layerwise_ci_top_delta_steer,22,1,1.0,add_CI_D_minus_A_neuron_delta,-0.0035087719298245606,0.0,0.0
layerwise_ci_top_delta_steer,22,1,1.5,add_CI_D_minus_A_neuron_delta,-0.0035087719298245615,0.0,0.0
layerwise_ci_top_delta_steer,22,1,2.0,add_CI_D_minus_A_neuron_delta,-0.003399122807017544,0.0,0.0
layerwise_ci_top_delta_steer,22,1,3.0,add_CI_D_minus_A_neuron_delta,-0.002412280701754386,0.0,0.0
layerwise_ci_top_delta_steer,22,5,0.25,add_CI_D_minus_A_neuron_delta,-0.002302631578947368,0.0,0.0
layerwise_ci_top_delta_steer,22,5,0.5,add_CI_D_minus_A_neuron_delta,-0.002412280701754386,0.0,0.0
layerwise_ci_top_delta_steer,22,5,1.0,add_CI_D_minus_A_neuron_delta,-0.002631578947368421,0.0,0.0
layerwise_ci_top_delta_steer,22,5,1.5,add_CI_D_minus_A_neuron_delta,-0.002302631578947368,0.0,0.0
layerwise_ci_top_delta_steer,22,5,2.0,add_CI_D_minus_A_neuron_delta,-0.0036184210526315785,0.0,0.0
layerwise_ci_top_delta_steer,22,5,3.0,add_CI_D_minus_A_neuron_delta,-0.003289473684210526,0.0,0.0
layerwise_ci_top_delta_steer,22,10,0.25,add_CI_D_minus_A_neuron_delta,-0.005153508771929824,0.0,0.0
layerwise_ci_top_delta_steer,22,10,0.5,add_CI_D_minus_A_neuron_delta,-0.0059210526315789476,0.0,0.0
layerwise_ci_top_delta_steer,22,10,1.0,add_CI_D_minus_A_neuron_delta,-0.008552631578947369,0.0,0.0
layerwise_ci_top_delta_steer,22,10,1.5,add_CI_D_minus_A_neuron_delta,-0.010087719298245614,0.0,0.0
layerwise_ci_top_delta_steer,22,10,2.0,add_CI_D_minus_A_neuron_delta,-0.013267543859649122,0.0,0.0
layerwise_ci_top_delta_steer,22,10,3.0,add_CI_D_minus_A_neuron_delta,-0.019517543859649124,0.0,0.0
layerwise_ci_top_delta_steer,22,20,0.25,add_CI_D_minus_A_neuron_delta,-0.004495614035087719,0.0,0.0
layerwise_ci_top_delta_steer,22,20,0.5,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
layerwise_ci_top_delta_steer,22,20,1.0,add_CI_D_minus_A_neuron_delta,-0.007017543859649123,0.0,0.0
layerwise_ci_top_delta_steer,22,20,1.5,add_CI_D_minus_A_neuron_delta,-0.008991228070175439,0.0,0.0
layerwise_ci_top_delta_steer,22,20,2.0,add_CI_D_minus_A_neuron_delta,-0.010855263157894736,0.0,0.0
layerwise_ci_top_delta_steer,22,20,3.0,add_CI_D_minus_A_neuron_delta,-0.016776315789473684,0.0,0.0
layerwise_ci_top_delta_steer,22,50,0.25,add_CI_D_minus_A_neuron_delta,0.0020833333333333333,0.0,0.0
layerwise_ci_top_delta_steer,22,50,0.5,add_CI_D_minus_A_neuron_delta,0.00932017543859649,0.0,0.0
layerwise_ci_top_delta_steer,22,50,1.0,add_CI_D_minus_A_neuron_delta,0.01743421052631579,0.0,0.0
layerwise_ci_top_delta_steer,22,50,1.5,add_CI_D_minus_A_neuron_delta,0.027741228070175438,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,22,50,2.0,add_CI_D_minus_A_neuron_delta,0.03793859649122807,0.014035087719298246,0.014035087719298246
layerwise_ci_top_delta_steer,22,50,3.0,add_CI_D_minus_A_neuron_delta,0.060087719298245613,0.021052631578947368,0.021052631578947368
layerwise_ci_top_delta_steer,22,100,0.25,add_CI_D_minus_A_neuron_delta,-0.0019736842105263154,0.0,0.0
layerwise_ci_top_delta_steer,22,100,0.5,add_CI_D_minus_A_neuron_delta,-0.001425438596491228,0.0,0.0
layerwise_ci_top_delta_steer,22,100,1.0,add_CI_D_minus_A_neuron_delta,0.0001096491228070173,0.0,0.0
layerwise_ci_top_delta_steer,22,100,1.5,add_CI_D_minus_A_neuron_delta,0.0015350877192982458,0.0,0.0
layerwise_ci_top_delta_steer,22,100,2.0,add_CI_D_minus_A_neuron_delta,0.003289473684210526,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,22,100,3.0,add_CI_D_minus_A_neuron_delta,0.008442982456140351,0.0,0.0
layerwise_ci_top_delta_steer,22,200,0.25,add_CI_D_minus_A_neuron_delta,-0.005043859649122807,0.0,0.0
layerwise_ci_top_delta_steer,22,200,0.5,add_CI_D_minus_A_neuron_delta,-0.007236842105263157,0.0,0.0
layerwise_ci_top_delta_steer,22,200,1.0,add_CI_D_minus_A_neuron_delta,-0.013157894736842106,0.0,0.0
layerwise_ci_top_delta_steer,22,200,1.5,add_CI_D_minus_A_neuron_delta,-0.018969298245614035,0.0,0.0
layerwise_ci_top_delta_steer,22,200,2.0,add_CI_D_minus_A_neuron_delta,-0.024561403508771926,0.0,0.0
layerwise_ci_top_delta_steer,22,200,3.0,add_CI_D_minus_A_neuron_delta,-0.03245614035087719,0.007017543859649123,0.007017543859649123
layerwise_ci_top_delta_steer,22,500,0.25,add_CI_D_minus_A_neuron_delta,-0.00361842105263158,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,22,500,0.5,add_CI_D_minus_A_neuron_delta,-0.0048245614035087704,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,22,500,1.0,add_CI_D_minus_A_neuron_delta,-0.004166666666666666,0.010526315789473684,0.010526315789473684
layerwise_ci_top_delta_steer,22,500,1.5,add_CI_D_minus_A_neuron_delta,-0.005372807017543853,0.028070175438596492,0.028070175438596492
layerwise_ci_top_delta_steer,22,500,2.0,add_CI_D_minus_A_neuron_delta,-0.007017543859649126,0.05263157894736842,0.05263157894736842
layerwise_ci_top_delta_steer,22,500,3.0,add_CI_D_minus_A_neuron_delta,-0.007017543859649145,0.08070175438596491,0.08070175438596491
layerwise_ci_top_delta_steer,23,1,0.25,add_CI_D_minus_A_neuron_delta,0.0009868421052631577,0.0,0.0
layerwise_ci_top_delta_steer,23,1,0.5,add_CI_D_minus_A_neuron_delta,0.0032894736842105257,0.0035087719298245615,0.0035087719298245615
layerwise_ci_top_delta_steer,23,1,1.0,add_CI_D_minus_A_neuron_delta,0.012719298245614035,0.0035087719298245615,0.0035087719298245615
