experiment,pair,layer,n,mean_original_margin,mean_patched_margin,mean_effect,mean_destructive_effect,mean_rescue_effect,flip_rate,destroyed_no_rate,rescued_yes_rate,patched_yes_rate,patched_no_rate
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,0,190,0.7080592105263158,0.7100328947368421,0.001973684210526316,,-0.001973684210526316,0.0,0.0,0.0,0.9947368421052631,0.005263157894736842
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,1,190,0.7080592105263158,0.7144736842105263,0.006414473684210526,,-0.006414473684210526,0.005263157894736842,0.0,0.0,1.0,0.0
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,2,190,0.7080592105263158,0.7116776315789474,0.003618421052631579,,-0.003618421052631579,0.0,0.0,0.0,0.9947368421052631,0.005263157894736842
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,3,190,0.7080592105263158,0.7082236842105263,0.0001644736842105263,,-0.0001644736842105263,0.010526315789473684,0.0,0.010526315789473684,0.9842105263157894,0.015789473684210527
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,4,190,0.7080592105263158,0.7228618421052632,0.014802631578947368,,-0.014802631578947368,0.005263157894736842,0.0,0.0,1.0,0.0
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,5,190,0.7080592105263158,0.7174342105263158,0.009375,,-0.009375,0.010526315789473684,0.0,0.005263157894736842,0.9947368421052631,0.005263157894736842
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,6,190,0.7080592105263158,0.7074013157894737,-0.0006578947368421052,,0.0006578947368421052,0.005263157894736842,0.0,0.005263157894736842,0.9894736842105263,0.010526315789473684
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,7,190,0.7080592105263158,0.6924342105263158,-0.015625,,0.015625,0.010526315789473684,0.0,0.010526315789473684,0.9842105263157894,0.015789473684210527
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,8,190,0.7080592105263158,0.6677631578947368,-0.04029605263157895,,0.04029605263157895,0.021052631578947368,0.0,0.021052631578947368,0.9736842105263158,0.02631578947368421
ciD_final_to_baseD_final_rescue,ci_to_base_same_D,9,190,0.7080592105263158,0.5916118421052632,-0.11644736842105263,,0.11644736842105263,0.06315789473684211,0.0,0.06315789473684211,0.9315789473684211,0.06842105263157895
