model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,9,190,0.02006578947368421,0.03125,0.02006578947368421,0.03125,0.03585526315789474,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,10,190,0.03075657894736842,0.03125,0.03075657894736842,0.03125,0.04424342105263158,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,11,190,0.038651315789473686,0.03125,0.038651315789473686,0.03125,0.04753289473684211,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,12,190,0.06200657894736842,0.0625,0.06200657894736842,0.0625,0.06891447368421053,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,13,190,0.09309210526315789,0.09375,0.09309210526315789,0.09375,0.09407894736842105,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,14,190,0.11973684210526316,0.125,0.11973684210526316,0.125,0.12039473684210526,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,15,190,0.23026315789473684,0.21875,0.23026315789473684,0.21875,0.23026315789473684,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,16,190,0.3279605263157895,0.3125,0.3279605263157895,0.3125,0.3279605263157895,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,17,190,0.562171052631579,0.53125,0.562171052631579,0.53125,0.562828947368421,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,18,190,5.713240131578948,5.734375,5.713240131578948,5.734375,5.716529605263158,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,19,190,7.404934210526315,7.59375,7.404934210526315,7.59375,7.407894736842105,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,20,190,10.975986842105263,11.2890625,10.975986842105263,11.2890625,10.979276315789473,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,21,190,11.237993421052632,11.4609375,11.237993421052632,11.4609375,11.241282894736843,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,22,190,11.24235197368421,11.46875,11.24235197368421,11.46875,11.2453125,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,23,190,11.566694078947368,11.828125,11.566694078947368,11.828125,11.569654605263159,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,24,190,11.635690789473685,11.8515625,11.635690789473685,11.8515625,11.638651315789474,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,25,190,12.306332236842104,12.546875,12.306332236842104,12.546875,12.309292763157895,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,26,190,12.663404605263159,12.8671875,12.663404605263159,12.8671875,12.66669407894737,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,27,190,8.66685855263158,8.71875,8.66685855263158,8.71875,8.687911184210526,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,0,190,0.001151315789473684,0.0,-0.001151315789473684,-0.0,0.014144736842105264,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,1,190,0.0018914473684210527,0.0,-0.0018914473684210527,-0.0,0.014555921052631579,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,2,190,0.003207236842105263,0.0,-0.003207236842105263,-0.0,0.013569078947368422,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,3,190,-0.003125,0.0,0.003125,-0.0,0.01611842105263158,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,4,190,-0.0018914473684210527,0.0,0.0018914473684210527,-0.0,0.018009868421052632,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,5,190,-0.002549342105263158,0.0,0.002549342105263158,-0.0,0.019325657894736843,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,6,190,-0.003207236842105263,0.0,0.003207236842105263,-0.0,0.02261513157894737,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,7,190,-0.0001644736842105263,0.0,0.0001644736842105263,-0.0,0.02368421052631579,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,8,190,0.000493421052631579,0.0,-0.000493421052631579,-0.0,0.026480263157894736,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,9,190,-0.0003289473684210526,0.0,0.0003289473684210526,-0.0,0.03848684210526316,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,10,190,-0.006332236842105263,-0.015625,0.006332236842105263,0.015625,0.04070723684210526,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,11,190,-0.008963815789473684,0.0,0.008963815789473684,-0.0,0.043832236842105264,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,12,190,-0.02294407894736842,-0.03125,0.02294407894736842,0.03125,0.051726973684210524,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,13,190,-0.05625,-0.0625,0.05625,0.0625,0.0712171052631579,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,14,190,-0.08824013157894736,-0.09375,0.08824013157894736,0.09375,0.10353618421052632,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,15,190,-0.2675986842105263,-0.2578125,0.2675986842105263,0.2578125,0.2679276315789474,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,16,190,-0.3918585526315789,-0.375,0.3918585526315789,0.375,0.3928453947368421,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,17,190,-0.9358552631578947,-0.953125,0.9358552631578947,0.953125,0.9358552631578947,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,18,190,-6.728947368421053,-6.8984375,6.728947368421053,6.8984375,6.7319078947368425,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,19,190,-8.990542763157896,-9.2109375,8.990542763157896,9.2109375,8.993503289473685,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,20,190,-11.773190789473684,-11.9453125,11.773190789473684,11.9453125,11.776480263157895,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,21,190,-11.850164473684211,-12.0078125,11.850164473684211,12.0078125,11.85345394736842,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,22,190,-11.861842105263158,-11.9921875,11.861842105263158,11.9921875,11.865131578947368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,23,190,-12.052302631578947,-12.2265625,12.052302631578947,12.2265625,12.055592105263157,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,24,190,-12.095559210526316,-12.2890625,12.095559210526316,12.2890625,12.098519736842105,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,25,190,-12.436842105263159,-12.640625,12.436842105263159,12.640625,12.44013157894737,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,26,190,-12.694736842105263,-12.875,12.694736842105263,12.875,12.698026315789473,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_D_to_A,27,190,-14.548930921052632,-14.7421875,14.548930921052632,14.7421875,14.548930921052632,0.9789473684210527
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,0,190,7.363404605263158,7.3125,7.363404605263158,7.3125,7.4380756578947365,0.9578947368421052
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,1,190,7.627713815789473,7.5625,7.627713815789473,7.5625,7.724753289473684,0.9578947368421052
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,2,190,7.722286184210526,7.703125,7.722286184210526,7.703125,7.829194078947369,0.9578947368421052
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,3,190,8.772532894736843,8.90625,8.772532894736843,8.90625,8.814967105263158,0.9631578947368421
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,4,190,8.90625,9.0,8.90625,9.0,8.945394736842106,0.9631578947368421
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,5,190,8.885197368421053,8.90625,8.885197368421053,8.90625,8.926644736842105,0.968421052631579
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,6,190,9.077302631578947,8.859375,9.077302631578947,8.859375,9.101315789473684,0.9789473684210527
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,7,190,9.403125,9.203125,9.403125,9.203125,9.408717105263158,0.9736842105263158
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,8,190,9.491200657894737,9.1875,9.491200657894737,9.1875,9.4921875,0.9842105263157894
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,9,190,9.182730263157895,9.234375,9.182730263157895,9.234375,9.182730263157895,0.9842105263157894
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,10,190,8.797615131578947,8.515625,8.797615131578947,8.515625,8.797615131578947,0.9894736842105263
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,11,190,8.158305921052632,7.921875,8.158305921052632,7.921875,8.16060855263158,0.9789473684210527
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,12,190,6.441858552631579,6.625,6.441858552631579,6.625,6.450740131578947,0.9526315789473684
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,13,190,4.606743421052632,4.765625,4.606743421052632,4.765625,4.643914473684211,0.8894736842105263
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,14,190,3.9867598684210526,3.890625,3.9867598684210526,3.890625,4.01077302631579,0.9
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,15,190,2.288651315789474,2.1875,2.288651315789474,2.1875,2.3432565789473685,0.7684210526315789
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,16,190,1.2761513157894737,1.203125,1.2761513157894737,1.203125,1.2876644736842104,0.6842105263157895
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,17,190,0.5817434210526315,0.578125,0.5817434210526315,0.578125,0.6222039473684211,0.43157894736842106
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,18,190,0.078125,0.0625,0.078125,0.0625,0.09095394736842105,0.07368421052631578
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,both_last_AD,both_last_AD_A_to_D,19,190,0.008388157894736842,0.0,0.008388157894736842,0.0,0.01694078947368421,0.015789473684210527
