model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,3,65,11.316346153846155,12.046875,11.316346153846155,12.046875,11.316346153846155,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,4,65,11.3125,12.046875,11.3125,12.046875,11.3125,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,5,65,11.278846153846153,12.046875,11.278846153846153,12.046875,11.278846153846153,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,6,65,11.252884615384616,11.921875,11.252884615384616,11.921875,11.252884615384616,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,7,65,11.186538461538461,11.609375,11.186538461538461,11.609375,11.186538461538461,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,8,65,11.213701923076924,11.5625,11.213701923076924,11.5625,11.213701923076924,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,9,65,11.144711538461538,11.328125,11.144711538461538,11.328125,11.144711538461538,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,10,65,10.907451923076923,10.953125,10.907451923076923,10.953125,10.907451923076923,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,11,65,10.338701923076924,10.3125,10.338701923076924,10.3125,10.338701923076924,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,12,65,9.617548076923077,10.125,9.617548076923077,10.125,9.617548076923077,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,13,65,8.269471153846155,8.546875,8.269471153846155,8.546875,8.269471153846155,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,14,65,7.476923076923077,7.21875,7.476923076923077,7.21875,7.476923076923077,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,15,65,4.939182692307693,4.921875,4.939182692307693,4.921875,4.939182692307693,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,16,65,2.6735576923076922,2.84375,2.6735576923076922,2.84375,2.6735576923076922,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,17,65,1.1466346153846154,1.09375,1.1466346153846154,1.09375,1.1466346153846154,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,18,65,0.08317307692307692,0.0625,0.08317307692307692,0.0625,0.09086538461538461,0.07692307692307693
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,19,65,0.0014423076923076924,0.0,0.0014423076923076924,0.0,0.012980769230769231,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,20,65,0.0014423076923076924,0.0,0.0014423076923076924,0.0,0.010096153846153847,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,21,65,0.0014423076923076924,0.0,0.0014423076923076924,0.0,0.012980769230769231,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,22,65,0.0019230769230769232,0.0,0.0019230769230769232,0.0,0.009615384615384616,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,23,65,0.0004807692307692308,0.0,0.0004807692307692308,0.0,0.01201923076923077,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,24,65,-0.0004807692307692308,0.0,-0.0004807692307692308,0.0,0.010096153846153847,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,25,65,0.0033653846153846156,0.0,0.0033653846153846156,0.0,0.012980769230769231,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,26,65,0.0019230769230769232,0.0,0.0019230769230769232,0.0,0.0125,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,27,65,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,0,65,-11.343028846153846,-12.1875,11.343028846153846,12.1875,11.343028846153846,0.09230769230769231
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,1,65,-11.350240384615384,-12.28125,11.350240384615384,12.28125,11.350240384615384,0.07692307692307693
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,2,65,-11.391586538461539,-12.34375,11.391586538461539,12.34375,11.391586538461539,0.15384615384615385
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,3,65,-11.379086538461538,-12.25,11.379086538461538,12.25,11.379086538461538,0.15384615384615385
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,4,65,-11.318509615384615,-12.15625,11.318509615384615,12.15625,11.318509615384615,0.07692307692307693
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,5,65,-11.251201923076923,-12.09375,11.251201923076923,12.09375,11.251201923076923,0.1076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,6,65,-11.055048076923077,-11.90625,11.055048076923077,11.90625,11.055048076923077,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,7,65,-10.679567307692308,-11.46875,10.679567307692308,11.46875,10.679567307692308,0.06153846153846154
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,8,65,-10.506971153846154,-11.28125,10.506971153846154,11.28125,10.506971153846154,0.06153846153846154
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,9,65,-9.743509615384616,-10.640625,9.743509615384616,10.640625,9.743509615384616,0.09230769230769231
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,10,65,-8.575240384615384,-8.5,8.575240384615384,8.5,8.575240384615384,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,11,65,-7.35,-6.484375,7.35,6.484375,7.35,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,12,65,-6.252403846153846,-5.671875,6.252403846153846,5.671875,6.252403846153846,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,13,65,-4.9415865384615385,-4.375,4.9415865384615385,4.375,4.9415865384615385,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,14,65,-4.061538461538461,-3.71875,4.061538461538461,3.71875,4.061538461538461,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_C_to_A,15,65,-2.4209134615384613,-2.34375,2.4209134615384613,2.34375,2.4209134615384613,0.0
