layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
22,200,top_writer_neurons,95,-0.6588815789473684,3.117763157894737,3.776644736842105,95,1.0
23,1,random_neurons_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
23,1,random_neurons_1,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
23,1,random_neurons_2,95,-0.6588815789473684,-0.6605263157894737,-0.001644736842105263,1,0.010526315789473684
23,1,top_writer_neurons,95,-0.6588815789473684,-0.03355263157894737,0.625328947368421,53,0.5578947368421052
23,5,random_neurons_0,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
23,5,random_neurons_1,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
23,5,random_neurons_2,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
23,5,top_writer_neurons,95,-0.6588815789473684,1.5901315789473685,2.249013157894737,94,0.9894736842105263
23,10,random_neurons_0,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,1,0.010526315789473684
23,10,random_neurons_1,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
23,10,random_neurons_2,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
23,10,top_writer_neurons,95,-0.6588815789473684,1.63125,2.2901315789473684,95,1.0
23,20,random_neurons_0,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
23,20,random_neurons_1,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
23,20,random_neurons_2,95,-0.6588815789473684,-0.6555921052631579,0.003289473684210526,1,0.010526315789473684
23,20,top_writer_neurons,95,-0.6588815789473684,1.606907894736842,2.2657894736842104,95,1.0
23,50,random_neurons_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,1,0.010526315789473684
23,50,random_neurons_1,95,-0.6588815789473684,-0.6641447368421053,-0.005263157894736842,1,0.010526315789473684
23,50,random_neurons_2,95,-0.6588815789473684,-0.6388157894736842,0.02006578947368421,3,0.031578947368421054
23,50,top_writer_neurons,95,-0.6588815789473684,1.980263157894737,2.639144736842105,95,1.0
23,100,random_neurons_0,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
23,100,random_neurons_1,95,-0.6588815789473684,-0.6427631578947368,0.01611842105263158,1,0.010526315789473684
23,100,random_neurons_2,95,-0.6588815789473684,-0.6476973684210526,0.01118421052631579,1,0.010526315789473684
23,100,top_writer_neurons,95,-0.6588815789473684,2.143092105263158,2.8019736842105263,95,1.0
23,200,random_neurons_0,95,-0.6588815789473684,-0.5898026315789474,0.06907894736842106,5,0.05263157894736842
23,200,random_neurons_1,95,-0.6588815789473684,-0.6286184210526315,0.030263157894736843,4,0.042105263157894736
23,200,random_neurons_2,95,-0.6588815789473684,-0.6342105263157894,0.024671052631578948,4,0.042105263157894736
23,200,top_writer_neurons,95,-0.6588815789473684,2.281578947368421,2.9404605263157895,95,1.0
25,1,random_neurons_0,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
