selection_name,layer,k,alpha,control_type,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top,27,10,1.0,random_neurons_2,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,10
global_multilayer_ci_top,multi,20,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,5,20
layerwise_ci_top,20,20,1.0,random_neurons_2,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,20,50,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,23,1,1.0,random_neurons_1,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,23,10,1.0,random_neurons_0,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,26,1,1.0,random_neurons_2,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,26,10,1.0,random_neurons_1,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,27,500,1.0,random_neurons_1,95,0.7651315789473684,0.7661184210526316,-0.000986842105263158,0.0,0,0.0,0,0.0,1.0,1,500
global_multilayer_ci_top,multi,5,1.0,random_neurons_0,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,2,5
layerwise_ci_top,22,1,1.0,random_neurons_0,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,22,20,1.0,random_neurons_1,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,26,20,1.0,random_neurons_0,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,26,50,1.0,random_neurons_1,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,26,100,1.0,random_neurons_1,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,27,100,1.0,random_neurons_1,95,0.7651315789473684,0.7664473684210527,-0.0013157894736842105,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,20,5,1.0,random_neurons_0,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,20,10,1.0,random_neurons_1,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,26,1,1.0,random_neurons_0,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,26,5,1.0,random_neurons_1,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,26,20,1.0,random_neurons_1,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,26,50,1.0,random_neurons_2,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,27,20,1.0,random_neurons_0,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,27,20,1.0,random_neurons_2,95,0.7651315789473684,0.7667763157894737,-0.001644736842105263,0.0,0,0.0,0,0.0,1.0,1,20
global_multilayer_ci_top,multi,50,1.0,random_neurons_0,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,5,50
layerwise_ci_top,20,5,1.0,random_neurons_1,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,20,10,1.0,random_neurons_0,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,20,20,1.0,random_neurons_1,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,23,5,1.0,random_neurons_0,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,50,1.0,random_neurons_1,95,0.7651315789473684,0.7671052631578947,-0.001973684210526316,0.0,0,0.0,0,0.0,1.0,1,50
global_multilayer_ci_top,multi,10,1.0,random_neurons_2,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,4,10
global_multilayer_ci_top,multi,200,1.0,random_neurons_1,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,5,200
global_multilayer_ci_top,multi,500,1.0,random_neurons_0,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top,22,100,1.0,random_neurons_0,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top,23,1,1.0,random_neurons_2,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,23,10,1.0,random_neurons_2,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,23,200,1.0,random_neurons_2,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,26,20,1.0,random_neurons_2,95,0.7651315789473684,0.7674342105263158,-0.002302631578947368,0.0,0,0.0,0,0.0,1.0,1,20
global_multilayer_ci_top,multi,1,1.0,random_neurons_1,95,0.7651315789473684,0.7677631578947368,-0.002631578947368421,0.0,0,0.0,0,0.0,1.0,1,1
