selection_name,layer,k,alpha,control_type,selection_source,delta_source,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_top_delta_steer,26,100,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.04013157894736842,0.8052631578947368,0.78125,62,0.6526315789473685,62,0.6526315789473685,1.0,1,100
layerwise_top_delta_steer,20,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.011842105263157895,0.7769736842105263,0.75,62,0.6526315789473685,62,0.6526315789473685,1.0,1,100
layerwise_top_delta_steer,26,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.017763157894736842,0.7473684210526316,0.75,62,0.6526315789473685,62,0.6526315789473685,1.0,1,200
layerwise_top_delta_steer,26,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.005592105263157895,0.7595394736842105,0.75,61,0.6421052631578947,61,0.6421052631578947,1.0,1,200
layerwise_top_delta_steer,22,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.024342105263157894,0.7407894736842106,0.71875,61,0.6421052631578947,61,0.6421052631578947,1.0,1,50
layerwise_top_delta_steer,26,100,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.037171052631578945,0.8023026315789473,0.78125,60,0.631578947368421,60,0.631578947368421,1.0,1,100
layerwise_top_delta_steer,22,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.037171052631578945,0.7279605263157894,0.71875,60,0.631578947368421,60,0.631578947368421,1.0,1,200
layerwise_top_delta_steer,23,200,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.05197368421052632,0.7131578947368421,0.71875,60,0.631578947368421,60,0.631578947368421,1.0,1,200
layerwise_top_delta_steer,26,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.07516447368421053,0.6899671052631579,0.6875,56,0.5894736842105263,56,0.5894736842105263,1.0,1,100
layerwise_top_delta_steer,27,50,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.06743421052631579,0.6976973684210527,0.6875,55,0.5789473684210527,55,0.5789473684210527,1.0,1,50
layerwise_top_delta_steer,23,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.0881578947368421,0.6769736842105263,0.65625,55,0.5789473684210527,55,0.5789473684210527,1.0,1,100
layerwise_top_delta_steer,20,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.10953947368421052,0.6555921052631579,0.625,53,0.5578947368421052,53,0.5578947368421052,1.0,1,50
layerwise_top_delta_steer,26,50,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,0.07088815789473685,0.6942434210526316,0.671875,52,0.5473684210526316,52,0.5473684210526316,1.0,1,50
