layer,neuron,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,abs_writer_score,rank_positive,rank_abs,D_minus_A_delta,score_source,selection_name,k,layer_label,control_type,selection_source,delta_source,random_control_id
20,8252,0.18463199,0.2286634,0.04403141,0.010234732,0.0004506497,0.0004506497,4951,9069,0.04403140999999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,179,-0.021507945,-0.06924462,-0.04773668,0.009362554,-0.00044693725,0.00044693725,14801,9117,-0.047736675000000006,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,3354,0.3625591,0.47937912,0.11682001,0.0055790856,0.0006517488,0.0006517488,4034,7231,0.11682001999999997,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,12945,0.11267283,0.12966438,0.016991548,0.00083598646,1.4204704e-05,1.4204704e-05,9449,18005,0.016991549999999994,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,16155,-0.31307438,-0.23268658,0.0803878,-0.0056333863,-0.00045285554,0.00045285554,14840,9040,0.08038779999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,8710,0.015001008,0.02432793,0.009326922,0.015648926,0.0001459563,0.0001459563,7376,13815,0.009326922000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,11759,0.16482063,0.14389327,-0.020927355,0.022189364,-0.00046436468,0.00046436468,14900,8925,-0.020927360000000006,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,18116,0.32900646,0.25054225,-0.07846421,-0.0035074854,0.00027521208,0.00027521208,6107,11341,-0.07846420999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,16323,-0.06618078,-0.09992467,-0.03374389,0.006829763,-0.00023046276,0.00023046276,13347,12072,-0.03374389,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,11523,0.32121712,0.34901574,0.027798623,0.0039646,0.00011021042,0.00011021042,7797,14709,0.027798619999999996,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,18569,-0.3351691,-0.31805485,0.017114252,0.02239767,0.0003833194,0.0003833194,5334,9874,0.017114249999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
