version,site,layer,n,mean_cosine,median_cosine,std_cosine,mean_base_norm,mean_ci_norm,mean_norm_ratio
B,final,3,304,0.9983439647445553,0.9983494281768799,6.136939522535123e-05,18.834519129050406,18.829723552653665,0.9997457375687419
B,final,4,304,0.9978388869448712,0.9978570640087128,8.435198540116661e-05,22.306464257993195,22.36713565023322,1.0027204311881408
B,final,5,304,0.9981422551760548,0.9981464147567749,6.167536737895955e-05,31.571572874721728,31.925093136335676,1.0111959244583406
B,final,6,304,0.9981701395621425,0.9981831908226013,7.41638246695452e-05,31.886948303172463,32.00037362073597,1.003556795270898
B,final,7,304,0.9978244516410326,0.9978331923484802,7.080508561398703e-05,33.143782364694694,33.2604625727001,1.0035197795557798
B,final,8,304,0.9971391327287021,0.9971316456794739,0.00010160690665665735,33.98317574199877,34.04962944984436,1.001955426092263
B,final,9,304,0.9955736918276862,0.9955732822418213,0.0001983611743044289,38.7205380138598,38.49419277592709,0.994153533881416
B,final,10,304,0.9943135304278449,0.9943271279335022,0.00035971111407254527,42.26682903892115,42.64478678452341,1.0089406660848044
B,final,11,304,0.9934697392347612,0.9935121536254883,0.0004516855000396747,43.79109184365524,44.70554105859054,1.0208791629683998
B,final,12,304,0.9943334605348738,0.9943616390228271,0.00040161334671033464,47.92186041882164,47.76047507085298,0.9966320328227615
B,final,13,304,0.9945555541076159,0.994607150554657,0.0004006316684585066,55.98059911476938,55.75201187635723,0.9959226061303532
B,final,14,304,0.9960639412073713,0.996092826128006,0.00029077752698158384,70.97649664627879,71.21510560888993,1.003362321975675
B,final,15,304,0.9959508621771085,0.9959754347801208,0.00028627025028279366,68.87153876455207,69.07161780407554,1.0029049500131086
B,final,16,304,0.9961584361368104,0.9961988031864166,0.00027032057455811647,70.72469011105989,70.69190062974629,0.9995371673858094
B,final,17,304,0.9968451732083371,0.9968726336956024,0.00022587576597743383,77.30327438053332,77.20504765761525,0.9987311176908589
B,final,18,304,0.9962062200433329,0.9962529838085175,0.00042902820015718935,84.81880815405594,85.23067283630371,1.0048622401404097
B,final,19,304,0.9963833873993472,0.9965170323848724,0.0005558567036757394,99.27142943834004,99.8289545711718,1.0056373741797406
B,final,20,304,0.9963763973822719,0.9965722858905792,0.000808977503313332,121.66627304177536,122.07607387241565,1.0033875587347034
B,final,21,304,0.9969304803954927,0.997155636548996,0.0008874118842354746,141.47850392994127,141.6875020077354,1.0014837625672794
B,final,22,304,0.9970078068344217,0.9973130524158478,0.001094912196475764,169.4657365899337,170.04051093051308,1.0033982888831
B,final,23,304,0.9974619601117937,0.9977823197841644,0.0011315347903217182,209.9138187107287,210.4635278802169,1.0026216802179724
B,final,24,304,0.9980814964755585,0.9983584880828857,0.0009174244905110237,266.6590009990491,268.1513787319786,1.0056108562337762
B,final,25,304,0.9984634532348106,0.9986793100833893,0.0007514190427273088,342.64540150291043,345.098033603869,1.0071853766824355
B,final,26,304,0.9986771870600549,0.998849630355835,0.0006569480377869019,428.92361972206515,429.9001462836015,1.0022980839180378
B,final,27,304,0.9975236797411191,0.9978971183300018,0.0012397599888913575,305.03468071786983,304.06512551558643,0.9968336162422702
B,purpose_last,0,304,0.9999967340968157,0.9999967217445374,2.9212124772434067e-07,13.369208229215522,13.365777740353032,0.9997397244003554
B,purpose_last,1,304,0.999991737502186,0.9999922513961792,2.3017522409680287e-06,20.399862182767766,20.389833851864463,0.9995962830068619
B,purpose_last,2,304,0.9999812923763928,0.9999814927577972,4.9598387258088835e-06,27.572196151080885,27.54608820614062,0.9991141261233982
B,purpose_last,3,304,0.9999729024344369,0.9999723136425018,8.605323091472331e-06,33.745703766220494,33.75502452097441,1.000341132625937
B,purpose_last,4,304,0.999969681626872,0.9999693632125854,7.787237982274383e-06,38.394306653424316,38.41873089890731,1.0006892676911978
B,purpose_last,5,304,0.9999652144156004,0.9999645948410034,8.174590220654336e-06,39.70068504308399,39.720705095090366,1.0005434254993482
B,purpose_last,6,304,0.9999497640681895,0.9999492168426514,1.0435159921214401e-05,45.47299130339371,45.49034261703491,1.0004061840551044
B,purpose_last,7,304,0.9999536881713491,0.9999550580978394,8.862077442431771e-06,52.42081972172386,52.476643436833434,1.0010559507894252
B,purpose_last,8,304,0.9999414900023686,0.9999467432498932,1.4451460814924028e-05,57.5705827035402,57.58969472583971,1.0003150693523781
B,purpose_last,9,304,0.9999253524369315,0.9999313950538635,2.073630926176578e-05,56.844539629785636,56.83665112445229,0.999874471038296
B,purpose_last,10,304,0.9999082051217556,0.9999111592769623,2.0189074048265928e-05,59.15109244145845,59.20264995725531,1.000885945503153
B,purpose_last,11,304,0.9999006498408946,0.9999053180217743,2.2565042678358164e-05,62.106153174450526,62.18594179655376,1.001288460794295
B,purpose_last,12,304,0.9998755311887515,0.9998817145824432,2.8998921163074434e-05,61.652291787298104,61.75439305054514,1.0016555567407686
B,purpose_last,13,304,0.9998602100500935,0.999861866235733,3.2423793837076035e-05,69.98717334395961,70.07197954780177,1.0012223951658363
B,purpose_last,14,304,0.999836410542852,0.9998395144939423,3.708482589857538e-05,70.23535916679783,70.24361547670867,1.0001267657053994
B,purpose_last,15,304,0.9998407697207049,0.9998435378074646,3.478312483593698e-05,81.2588920091328,81.13236582906623,0.9984530113144144
B,purpose_last,16,304,0.9998154748035105,0.9998190999031067,4.180387928635165e-05,82.26200475190815,82.18147280341701,0.999025055905402
B,purpose_last,17,304,0.9997932256052369,0.999801516532898,4.886057352820123e-05,87.79844755875438,87.6152226046512,0.9979189387961718
B,purpose_last,18,304,0.999810348411924,0.9998171627521515,4.588903354569338e-05,100.73174840525577,100.49794751719425,0.9976753842154163
B,purpose_last,19,304,0.9997353198889055,0.9997434616088867,5.1408348286357626e-05,108.40855322386089,107.92977395810578,0.9955818966413138
B,purpose_last,20,304,0.9997150643091453,0.9997217059135437,5.265844663817092e-05,124.00314075068424,123.30634353035374,0.9943764735219327
B,purpose_last,21,304,0.9996973985904142,0.9997033178806305,5.5545789382673e-05,153.1478726236444,152.15151114212838,0.9934924148215288
B,purpose_last,22,304,0.999644569660488,0.9996522068977356,6.455033209227925e-05,171.5789058584916,170.33678215428404,0.9927634696186155
B,purpose_last,23,304,0.9996180853953487,0.9996204376220703,6.429108247078076e-05,212.80671797300639,210.88689809096488,0.9909777183149885
B,purpose_last,24,304,0.9995660597556516,0.9995739161968231,6.959490784936322e-05,266.9063784950658,264.3504904696816,0.9904146192241705
B,purpose_last,25,304,0.9994620810213842,0.9994725584983826,9.237214894995392e-05,309.0833763323332,306.8074617887798,0.9926358706186674
B,purpose_last,26,304,0.9990129566898471,0.9990302920341492,0.00015193869672917187,404.3424833197343,401.63863975123354,0.9933057562201073
B,purpose_last,27,304,0.9978571369459754,0.9978391826152802,0.00036720011930905887,271.70209342554995,271.5775311118678,0.9995492889561447
B,recipient_last,0,304,0.9999961621667209,0.9999961256980896,6.912486645857049e-07,14.01718532097967,14.01170730904529,0.9996042103583628
B,recipient_last,1,304,0.9999898368198621,0.999989926815033,2.8044489439405708e-06,21.54617264396266,21.53141272695441,0.9993450978480406
B,recipient_last,2,304,0.9999779300077966,0.9999787509441376,5.2865108991371295e-06,27.737399760045502,27.725226145041617,0.9995578075896747
B,recipient_last,3,304,0.999968545413331,0.9999688267707825,7.490618798385024e-06,32.45234568495499,32.46849969186281,1.0005024593838974
B,recipient_last,4,304,0.999963006298793,0.9999635517597198,8.85630044986852e-06,37.31318773721394,37.33394046833641,1.0005357997935986
B,recipient_last,5,304,0.9999584098787684,0.9999603629112244,8.870783912028021e-06,38.331700701462594,38.34946201976977,1.0004544468159255
B,recipient_last,6,304,0.9999395795166492,0.9999402165412903,1.0952937116633555e-05,44.7162660674045,44.732794874592834,1.0003752820058
B,recipient_last,7,304,0.9999421470259365,0.9999436438083649,1.1967324489291405e-05,50.835562718542,50.858749326906704,1.0004560286313973
