model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,9,49,-4.489158163265306,-3.625,4.489158163265306,3.625,4.529974489795919,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,10,49,-4.459821428571429,-3.6875,4.459821428571429,3.6875,4.490433673469388,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,11,49,-4.279017857142857,-3.3125,4.279017857142857,3.3125,4.279017857142857,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,12,49,-2.954400510204082,-2.625,2.954400510204082,2.625,2.954400510204082,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,13,49,-1.547512755102041,-1.375,1.547512755102041,1.375,1.6144770408163265,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,14,49,-1.2075892857142858,-1.125,1.2075892857142858,1.125,1.3294005102040816,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,15,49,-0.6514668367346939,-0.375,0.6514668367346939,0.375,0.8038903061224489,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,16,49,-0.5044642857142857,-0.1875,0.5044642857142857,0.1875,0.5816326530612245,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,17,49,-0.26211734693877553,0.0,0.26211734693877553,-0.0,0.3667091836734694,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,18,49,-0.011798469387755101,0.0,0.011798469387755101,-0.0,0.045599489795918366,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,19,49,-0.019770408163265307,0.0,0.019770408163265307,-0.0,0.039540816326530615,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,20,49,-0.009885204081632654,0.0,0.009885204081632654,-0.0,0.02264030612244898,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,21,49,-0.005739795918367347,0.0,0.005739795918367347,-0.0,0.019770408163265307,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,22,49,-0.006058673469387755,0.0,0.006058673469387755,-0.0,0.010522959183673469,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,23,49,-0.0031887755102040817,0.0,0.0031887755102040817,-0.0,0.008290816326530613,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,24,49,-0.0012755102040816326,0.0,0.0012755102040816326,-0.0,0.008928571428571428,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,25,49,0.0028698979591836736,0.0,-0.0028698979591836736,-0.0,0.005420918367346939,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,26,49,0.0015943877551020409,0.0,-0.0015943877551020409,-0.0,0.004145408163265306,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,27,49,0.0,0.0,0.0,-0.0,0.0,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,0,49,-0.0006377551020408163,0.0,-0.0006377551020408163,0.0,0.018494897959183673,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,1,49,0.003826530612244898,0.0,0.003826530612244898,0.0,0.01020408163265306,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,2,49,0.006377551020408163,0.0,0.006377551020408163,0.0,0.01403061224489796,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,3,49,0.001913265306122449,0.0,0.001913265306122449,0.0,0.01211734693877551,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,4,49,0.0031887755102040817,0.0,0.0031887755102040817,0.0,0.019770408163265307,0.0
huseyinatahaninan/Qwen2.5-7B-Instruct-CI,Qwen2.5-7B-Instruct-CI,final_AB,final_AB_A_to_B,5,49,0.0012755102040816326,0.0,0.0012755102040816326,0.0,0.01913265306122449,0.0
